年,月,日,大分類,中分類,小分類,詳細,金額,価値分類,支払い先,支払い方法
2025,12,25,支出,社会保険料,,健康保険料,"16,694 ",公的支出,,足利銀行口座
2025,12,25,支出,社会保険料,,厚生年金,"31,110 ",公的支出,,足利銀行口座
2025,12,25,支出,社会保険料,,雇用保険,"1,977 ",公的支出,,足利銀行口座
2025,12,25,支出,税金,,所得税,"8,380 ",公的支出,,足利銀行口座
2025,12,25,支出,税金,,住民税,"13,200 ",公的支出,,足利銀行口座
2025,12,25,支出,娯楽費,,ABEMAプレミアム,580 ,浪費,Apple,楽天カード
2025,12,26,収入,副業収入,,,8 ,収入,もしもアフィリエイト,SBI銀行口座
2025,12,26,支出,投資,,国民年金基金連合会,"10,000 ",投資,楽天証券,楽天銀行
2025,12,27,支出,雑費,喫茶店,コーヒー代,"1,035 ",浪費,タリーズコーヒー,PayPay
2025,12,27,支出,娯楽費,,アラバキチケット,"88,700 ",選択消費,Loppi,現金
2025,12,28,支出,日用品費,日用品,ハンドクリーム・シェービングジェル,659 ,必要消費,マツモトキヨシ,PayPay
2025,12,28,支出,特別費,誕生日ケーキ,サーティワン,"3,500 ",必要消費,サーティワン,PayPay
2025,12,28,支出,食費,昼食,丸亀製麺,"2,610 ",必要消費,丸亀製麺,PayPay
2025,12,29,支出,保険料,医療保険,保険,"113,238 ",リスク対策費,かんぽ生命,ゆうちょ銀行口座
2025,12,29,支出,保険料,生命保険,メットライフ生命,"2,910 ",リスク対策費,メットライフ生命,足利銀行口座
2025,12,29,支出,習い事,スイミング,セントラルスポーツ,"7,810 ",教育投資,セントラルスポーツ,足利銀行口座
2025,12,29,支出,保険料,,明治安田生命,"9,878 ",リスク対策費,明治安田生命,足利銀行口座
2025,12,29,支出,保険料,,明治安田生命,"10,000 ",リスク対策費,明治安田生命,足利銀行口座
2025,12,29,支出,日用品費,,A,"14,000 ",自己投資,アプラス,足利銀行口座
2025,12,29,支出,教育費,,学童保育,"16,850 ",必要消費,こどもの家,足利銀行口座
2025,12,29,支出,娯楽費,,水草,351 ,浪費,Amazon,楽天カード
2025,12,29,支出,飲料費,,Grong（ヨーグルト味）,"3,980 ",自己投資,Amazon,楽天カード
2025,12,29,収入,副業収入,,,31 ,収入,Amazon,SBI銀行口座
2025,12,30,支出,交通費,ガソリン代,ガソリン代,"4,820 ",交通費,ガソリンスタンド,楽天カード
2025,12,30,支出,雑費,,ライトケアサロン,980 ,自己投資,,楽天カード
